#id_personaje;clase;nombre;nivel;experiencia;ultimo_mapa;ultima_celda;vida_extra
1;1;TEST;1;0;0007;141;0
2;2;FLAN;1;0;0007;234;0
3;1;sdg;1;0;0000;81;0
4;1;aweonao;1;0;0007;53;0
5;2;Steevy;1;0;0007;120;0
6;2;test;1;0;0000;080;0
7;2;teste;1;0;0004;212;0
8;1;ola k ase;1;0;0000;80;0
9;2;flan;1;0;0000;21;0
10;1;pico ctm;1;0;0000;80;0
11;2;otro.test;1;0;0007;194;0
12;1;Ola k Ase;1;0;0000;080;0
13;2;oolkoiju;1;0;0000;080;0
14;2;Character;1;0;0000;80;0
15;2;Hola;1;0;0000;080;0
16;2;OLAkASe;1;0;0000;080;0
17;2;OLAkASEE;1;0;0000;080;0
18;2;pers;1;0;0000;080;0
19;2;olasdg;1;0;0000;080;0
20;1;holassss;1;0;0000;080;0
21;1;testete;1;0;0000;080;0
22;2;otro pers;1;0;0000;080;0
23;2;asdsad;1;0;0000;080;0
24;1;weon penc;1;0;0000;080;0
